Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_372.jpg;0;1;0;0.7031467;43.70137;95.51321;1.217414;354.3632;-0.0006380196
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_413.jpg;0;1;0;0.7442549;43.73209;95.51008;1.204387;354.3405;-0.0002334519
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_453.jpg;0;1;0;0.7849664;43.76379;95.50684;1.188001;354.3658;-0.00125996
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_497.jpg;0;1;0;0.8107105;43.7972;95.50347;1.193662;354.4527;-0.001496883
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_575.jpg;0;1;0;0.8839902;43.86844;95.49626;1.216155;354.5309;-0.001285112
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_616.jpg;0;1;0;0.9099717;43.90612;95.49248;1.225764;354.5362;-0.0007161597
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_658.jpg;0;1;0;0.9500036;43.94504;95.48859;1.230338;354.5329;-0.00066567
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_736.jpg;0;1;0;1.015682;44.02641;95.48048;1.22113;354.5236;-0.0006639064
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_777.jpg;0;1;0;1.047737;44.06873;95.47628;1.211247;354.5127;-4.969005E-05
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_856.jpg;0;1;0;1.109426;44.15812;95.46735;1.2294;354.5045;-0.0008428153
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_897.jpg;0;1;0;1.140914;44.20432;95.46272;1.225345;354.4935;-0.0007406578
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_22_976.jpg;0;1;0;1.201757;44.30071;95.45306;1.228769;354.43;-0.0007141857
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_016.jpg;0;1;0;1.233094;44.3507;95.448;1.229846;354.4199;-0.0009075035
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_097.jpg;0;1;0;1.295679;44.45458;95.43745;1.23442;354.3889;-0.0009425713
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_176.jpg;0;1;0;1.358805;44.56358;95.42631;1.242408;354.3546;-0.0008964596
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_220.jpg;0;1;0;1.390159;44.64855;95.41759;1.245974;354.3382;-0.0009156752
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_293.jpg;0;1;0;1.469899;44.73631;95.40855;1.24798;354.3246;-0.000946259
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_337.jpg;0;1;0;1.484536;44.79641;95.40234;1.251603;354.3158;-0.000972093
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_377.jpg;0;1;0;1.515716;44.85772;95.396;1.252929;354.3075;-0.0009373475
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_418.jpg;0;1;0;1.547764;44.92031;95.38951;1.257942;354.3007;-0.0009994763
